109	EMC Emercoin	EMC	$174,277,208	$4.22	41,340,335	$1,278,180	0.00%	-4.98%	11.92%	
110	SUB Substratum	SUB	$167,153,026	$0.739316	226,091,449 *	$3,046,640	-1.22%	1.31%	16.66%	
111	XDN DigitalNote	XDN	$164,027,110	$0.023787	6,895,777,888	$6,563,260	-0.16%	6.36%	41.24%	
112	STORJ Storj	STORJ	$163,999,944	$1.23	133,425,493 *	$17,752,600	-0.43%	12.38%	30.69%	
113	STORM Storm	STORM	$163,320,878	$0.039983	4,084,706,883 *	$1,186,110	0.23%	2.65%	7.68%	
114	GAME GameCredits	GAME	$160,604,573	$2.50	64,355,352	$1,825,190	-0.62%	1.05%	10.59%	
115	XPA XPA	XPA	$159,316,000	$0.159316	1,000,000,000 *	$449,866	0.44%	2.83%	-11.09%	
116	BTCD BitcoinDark	BTCD	$155,020,477	$120.28	1,288,862	$54,714	-0.42%	6.15%	16.82%	
117	RDN Raiden Networ...	RDN	$154,986,791	$3.09	50,148,936 *	$3,740,860	0.66%	7.69%	13.49%	
118	CVC Civic	CVC	$154,879,480	$0.451939	342,699,966 *	$5,335,230	0.69%	-1.10%	0.25%	
119	SKY Skycoin	SKY	$147,517,032	$19.80	7,449,076 *	$634,481	-0.28%	6.47%	28.91%	
120	ZEN ZenCash	ZEN	$145,401,216	$45.06	3,226,850	$1,437,010	1.97%	10.72%	16.51%	
121	UNITY SuperNET	UNITY	$143,693,614	$176.08	816,061 *	$6,768	-1.14%	-17.56%	18.20%	
122	MANA Decentraland	MANA	$141,052,132	$0.134202	1,051,043,445 *	$17,071,600	-0.46%	8.88%	21.68%	
123	ENJ Enjin Coin	ENJ	$140,310,769	$0.185549	756,192,535 *	$2,632,690	-0.49%	13.44%	25.81%	
124	VEE BLOCKv	VEE	$139,002,572	$0.092980	1,494,971,209 *	$3,601,410	5.33%	21.28%	40.77%	
125	HPB High Performa...	HPB	$135,963,815	$6.12	22,216,600 *	$2,855,580	0.11%	-0.63%	4.40%	
126	DEW DEW	DEW	$135,435,172	$1.31	103,244,553 *	$168,249	-0.83%	0.48%	17.50%	
127	NXS Nexus	NXS	$132,108,237	$2.37	55,636,937	$4,571,250	0.83%	-7.32%	-21.50%	
128	TNB Time New Bank	TNB	$129,023,472	$0.079077	1,631,622,325 *	$16,048,800	-0.93%	5.28%	17.58%	
129	PAC PACcoin	PAC	$128,163,280	$0.000050	2,568,973,866,070	$523,069	-1.79%	-4.33%	124.23%	
130	NAV NAV Coin	NAV	$127,835,656	$2.05	62,435,607 *	$1,164,090	-0.57%	4.28%	41.28%	
131	RPX Red Pulse	RPX	$127,301,120	$0.234290	543,348,500 *	$9,904,570	-2.91%	-2.08%	34.25%	
132	ACT Achain	ACT	$127,218,900	$0.424063	300,000,000 *	$9,466,840	-2.27%	7.19%	11.57%	
133	ANT Aragon	ANT	$125,430,347	$4.70	26,682,142 *	$572,422	-1.03%	0.48%	6.74%	
134	MCO Monaco	MCO	$118,880,619	$9.01	13,195,542 *	$4,324,740	-0.63%	4.98%	31.77%	
135	PPP PayPie	PPP	$117,257,250	$1.42	82,500,000 *	$331,111	-0.92%	-6.67%	-6.58%	
136	UBQ Ubiq	UBQ	$117,046,112	$2.95	39,636,474	$211,674	-3.59%	2.82%	13.58%	
137	DTR Dynamic Tradi...	DTR	$116,965,751	$0.098596	1,186,310,945 *	$80,022	-0.16%	-10.50%	-8.85%	
138	MED MediBloc	MED	$115,661,096	$0.038991	2,966,384,100 *	$1,294,980	-0.05%	-3.67%	-8.42%	
139	TEL Telcoin	TEL	$114,637,875	$0.004379	26,179,127,423 *	$1,329,630	0.92%	3.29%	25.32%	
140	LEND ETHLend	LEND	$114,272,967	$0.106486	1,073,126,670 *	$8,710,930	2.62%	5.77%	27.81%	
141	HTML HTMLCOIN	HTML	$113,880,312	$0.001740	65,455,226,248	$700,594	1.05%	-1.63%	2.20%	
142	SRN SIRIN LABS Token	SRN	$113,427,164	$1.15	98,939,459 *	$34,301,400	-1.23%	-7.58%	7.07%	
143	RLC iExec RLC	RLC	$111,096,046	$1.41	79,070,793 *	$3,413,740	0.64%	-1.50%	6.40%	
144	ITC IoT Chain	ITC	$110,588,801	$2.89	38,327,425 *	$9,425,770	0.91%	3.12%	19.75%	
145	BLZ Bluzelle	BLZ	$110,525,580	$0.669852	165,000,000 *	$9,614,860	2.20%	2.50%	-12.76%	
146	SPHTX SophiaTX	SPHTX	$110,319,514	$0.581853	189,600,318 *	$162,181	2.01%	8.61%	22.74%	
147	AGRS Agoras Tokens	AGRS	$107,943,360	$2.57	42,000,000 *	$302,014	-0.57%	-0.22%	9.89%	
148	DBC DeepBrain Chain	DBC	$107,856,900	$0.119841	900,000,000 *	$3,176,260	0.36%	-3.30%	35.09%	
149	XCP Counterparty	XCP	$104,651,054	$39.99	2,617,173 *	$1,522,980	2.02%	3.82%	49.42%	
150	VIBE VIBE	VIBE	$104,087,418	$0.520691	199,902,472 *	$11,990,600	6.09%	18.09%	11.61%	
151	BCO BridgeCoin	BCO	$101,226,240	$3.75	27,000,000	$44,087	-0.73%	11.91%	3.39%	
152	MDS MediShares	MDS	$98,340,279	$0.203809	482,511,957 *	$3,031,230	-0.58%	5.89%	19.74%	
153	PPC Peercoin	PPC	$96,308,850	$3.91	24,620,715	$908,691	-0.93%	5.88%	16.18%	
154	BIX Bibox Token	BIX	$95,875,810	$0.909827	105,378,066 *	$21,223,900	-0.19%	1.39%	9.29%	
155	RCN Ripio Credit ...	RCN	$94,663,060	$0.192980	490,533,009 *	$4,583,540	1.05%	1.68%	12.32%	
156	AST AirSwap	AST	$94,434,150	$0.629561	150,000,000 *	$3,984,210	1.46%	3.70%	2.02%	
157	XBY XTRABYTES	XBY	$94,378,550	$0.219485	430,000,000 *	$272,838	-1.17%	-0.81%	16.72%	
158	EMC2 Einsteinium	EMC2	$93,802,532	$0.433308	216,480,038	$7,676,760	-0.53%	2.42%	28.29%	
159	C20 CRYPTO20	C20	$92,460,081	$2.35	39,335,007 *	$2,803,210	-2.47%	-2.27%	9.47%	
160	XAS Asch	XAS	$90,781,369	$0.979025	92,726,303	$1,520,010	-1.50%	5.79%	4.96%	
161	INS INS Ecosystem	INS	$90,005,105	$3.20	28,100,339 *	$27,116,300	4.12%	30.18%	44.16%	
162	JNT Jibrel Network	JNT	$89,501,250	$0.596675	150,000,000 *	$9,007,010	-0.33%	2.41%	4.55%	
163	OST Simple Token	OST	$89,349,733	$0.327421	272,889,439 *	$5,488,690	0.94%	5.28%	12.28%	
164	WABI WaBi	WABI	$87,471,687	$1.93	45,248,033 *	$6,761,380	0.04%	14.19%	26.77%	
165	ADX AdEx	ADX	$86,502,723	$1.44	60,248,315 *	$15,751,300	0.01%	5.72%	30.35%	
166	SNM SONM	SNM	$86,216,258	$0.239756	359,600,000 *	$957,864	1.87%	4.43%	16.39%	
167	APPC AppCoins	APPC	$85,810,180	$0.857636	100,054,312 *	$52,757,400	-0.14%	32.70%	41.88%	
168	CMT CyberMiles	CMT	$84,967,124	$0.190314	446,457,559 *	$6,141,240	-0.25%	0.71%	7.07%	
169	VIA Viacoin	VIA	$84,536,257	$3.68	22,983,425	$2,205,070	-2.19%	10.10%	36.81%	
170	SNGLS SingularDTV	SNGLS	$83,288,400	$0.138814	600,000,000 *	$3,385,620	0.36%	1.11%	-0.10%	
171	GTO Gifto	GTO	$82,793,056	$0.524467	157,861,327 *	$94,610,300	0.42%	48.05%	85.59%	
172	AMB Ambrosus	AMB	$82,719,195	$0.572091	144,590,975 *	$1,546,510	0.40%	4.04%	5.72%	
173	MTL Metal	MTL	$81,926,929	$4.24	19,300,994 *	$11,912,000	-0.48%	1.43%	1.80%	
174	THETA Theta Token	THETA	$80,843,533	$0.138688	582,916,565 *	$16,086,200	-2.48%	7.75%	10.42%	
175	EDO Eidoo	EDO	$79,973,329	$2.73	29,261,461 *	$2,822,080	-0.14%	0.77%	40.36%	
176	DATA Streamr DATAcoin	DATA	$79,220,307	$0.116990	677,154,514 *	$1,333,910	-2.48%	18.71%	32.25%	
177	BAY BitBay	BAY	$78,974,075	$0.078201	1,009,888,326 *	$1,457,670	1.18%	0.24%	17.94%	
178	MGO MobileGo	MGO	$78,871,486	$0.804574	98,028,877 *	$269,002	-0.66%	6.80%	28.45%	
179	MLN Melon	MLN	$78,713,208	$131.32	599,400 *	$212,082	0.30%	6.43%	25.40%	
180	SPANK SpankChain	SPANK	$77,159,757	$0.257162	300,043,386 *	$420,988	-1.94%	-4.17%	32.61%	
181	BRD Bread	BRD	$75,937,910	$1.02	74,388,400 *	$6,827,440	-1.26%	14.71%	21.12%	
182	NULS Nuls	NULS	$74,772,785	$3.17	23,564,882 *	$11,725,500	1.29%	18.29%	7.31%	
183	WINGS Wings	WINGS	$73,703,559	$0.821591	89,708,333 *	$3,068,300	-0.76%	11.62%	38.59%	
184	EDG Edgeless	EDG	$73,573,029	$0.896726	82,046,276 *	$1,803,280	0.62%	7.61%	9.34%	
185	PRL Oyster	PRL	$73,175,125	$1.03	70,766,926 *	$1,514,020	-1.97%	13.89%	69.85%	
186	WGR Wagerr	WGR	$72,998,883	$0.398901	183,000,000 *	$271,345	4.68%	2.57%	21.86%	
187	TNC Trinity Netwo...	TNC	$72,967,333	$0.218902	333,333,333 *	$3,687,250	0.14%	0.39%	8.89%	
188	ETP Metaverse ETP	ETP	$72,503,470	$1.94	37,347,896	$2,562,180	-0.81%	-1.36%	36.56%	
189	PURA Pura	PURA	$71,691,576	$0.414882	172,799,920	$332,095	-0.24%	20.76%	78.79%	
190	GVT Genesis Vision	GVT	$71,188,596	$19.10	3,726,781 *	$3,389,180	-1.99%	9.47%	39.35%	
191	UTK UTRUST	UTK	$70,543,955	$0.264621	266,584,869 *	$2,493,050	-5.53%	0.04%	-12.73%	
192	COB Cobinhood	COB	$69,322,134	$0.193543	358,174,328 *	$547,197	4.21%	-1.43%	-18.51%	
193	MOD Modum	MOD	$69,137,202	$3.78	18,266,200 *	$1,334,740	-0.15%	-1.22%	26.30%	
194	QRL Quantum Resis...	QRL	$68,859,960	$1.32	52,000,000 *	$906,594	0.22%	3.96%	-2.84%	
195	TNT Tierion	TNT	$67,605,775	$0.157780	428,481,269 *	$3,313,400	-2.50%	2.21%	23.75%	
196	TRIG Triggers	TRIG	$66,724,701	$2.08	32,105,578 *	$2,017,700	-0.63%	13.28%	31.10%	
197	NLG Gulden	NLG	$65,848,213	$0.167886	392,219,800	$198,230	-0.22%	0.11%	2.76%	
198	CTR Centra	CTR	$64,561,580	$0.949435	68,000,000 *	$1,268,550	-0.20%	1.07%	-4.56%	
199	SOC All Sports	SOC	$64,230,276	$0.145994	439,951,480 *	$3,907,500	0.34%	3.64%	57.47%	
200	RISE Rise	RISE	$64,024,342	$0.565890	113,139,200 *	$6,135	-0.53%	-14.04%	273.71%	
201	FUEL Etherparty	FUEL	$63,095,696	$0.130055	485,146,253 *	$5,387,350	-3.09%	-0.42%	13.33%	
202	DNT district0x	DNT	$62,949,600	$0.104916	600,000,000 *	$2,773,150	-0.26%	-0.90%	38.47%	
203	BURST Burst	BURST	$62,703,675	$0.034829	1,800,339,818	$1,710,280	-3.43%	14.58%	34.82%	
204	QLC QLINK	QLC	$61,693,440	$0.257056	240,000,000 *	$943,382	-0.55%	-3.71%	35.85%	
205	CDT CoinDash	CDT	$61,435,418	$0.094335	651,246,649 *	$2,319,740	2.41%	9.12%	30.46%	
206	HVN Hive	HVN	$60,506,250	$0.161350	375,000,000 *	$144,146	-2.10%	5.74%	43.37%	
207	ATM ATMChain	ATM	$60,428,057	$0.012967	4,660,285,460 *	$48,672	8.23%	21.29%	20.37%	
208	INT Internet Node...	INT	$59,680,050	$0.397867	150,000,000 *	$2,717,560	-0.75%	9.05%	15.73%	
209	MNX MinexCoin	MNX	$58,072,200	$19.36	3,000,000	$158,537	-2.45%	9.70%	21.87%	
210	TRAC OriginTrail	TRAC	$57,678,295	$0.226627	254,507,606 *	$409,328	6.42%	5.36%	13.20%	
211	ION ION	ION	$57,527,391	$2.91	19,756,303 *	$1,699,850	-1.18%	1.40%	2.23%	
212	COSS COSS	COSS	$57,381,017	$0.877172	65,415,925 *	$628,410	0.96%	6.70%	29.86%	
213	THC HempCoin	THC	$56,327,626	$0.244394	230,478,760	$2,811,720	-1.46%	28.51%	59.92%	
214	UKG Unikoin Gold	UKG	$55,693,006	$0.396608	140,423,304 *	$2,242,410	0.27%	-2.32%	-0.59%	
215	LBC LBRY Credits	LBC	$55,306,059	$0.371953	148,690,989	$935,431	-3.47%	0.26%	3.35%	
216	ONION DeepOnion	ONION	$54,941,490	$5.25	10,462,694	$172,106	-0.85%	10.68%	10.04%	
217	CRW Crown	CRW	$54,347,429	$3.16	17,205,414	$305,523	-2.17%	12.27%	32.31%	
218	MER Mercury	MER	$53,744,300	$0.537443	100,000,000 *	$11,216,800	-0.41%	4.69%	21.10%	
219	ECC ECC	ECC	$53,569,750	$0.002143	25,000,000,000	$103,004	2.59%	6.89%	15.11%	
220	GRS Groestlcoin	GRS	$53,387,664	$0.768854	69,437,974	$4,520,960	-1.25%	7.04%	33.90%	
221	AEON Aeon	AEON	$52,536,886	$3.39	15,491,346	$74,829	0.77%	1.09%	17.30%	
222	NGC NAGA	NGC	$52,508,068	$0.910455	57,672,338 *	$305,384	-1.16%	0.33%	-2.28%	
223	TAAS TaaS	TAAS	$52,249,589	$6.41	8,146,001 *	$135,087	-0.09%	6.68%	28.50%	
224	SLS SaluS	SLS	$51,649,600	$51.14	1,009,937 *	$69,969	-3.20%	-2.01%	23.83%	
225	DIME Dimecoin	DIME	$51,005,883	$0.000095	539,096,740,560	$97,523	4.54%	10.17%	73.21%	
226	SBD Steem Dollars	SBD	$50,957,662	$5.71	8,931,104 *	$30,657,100	-0.76%	2.17%	63.92%	
227	HST Decision Token	HST	$49,264,942	$1.57	31,432,399 *	$233,641	6.54%	8.63%	6.62%	
228	PEPECASH Pepe Cash	PEPECASH	$49,005,050	$0.069819	701,884,009 *	$2,049,020	-1.80%	12.33%	52.26%	
229	ADT adToken	ADT	$48,575,940	$0.080960	600,000,000 *	$1,434,710	0.33%	-1.14%	14.06%	
230	DCT DECENT	DCT	$48,188,372	$0.939233	51,306,089 *	$320,239	-0.16%	7.50%	3.01%	
231	NET Nimiq	NET	$48,021,855	$4.57	10,500,000 *	$216,781	-0.39%	11.50%	55.92%	
232	DPY Delphy	DPY	$47,976,422	$1.58	30,333,339 *	$1,900,330	-0.47%	3.56%	25.89%	
233	CLOAK CloakCoin	CLOAK	$47,908,656	$9.48	5,053,693 *	$433,350	-0.48%	1.68%	0.86%	
234	ECA Electra	ECA	$47,882,053	$0.002076	23,063,795,127	$102,037	0.63%	-7.24%	-16.79%	
235	SAFEX Safe Exchange...	SAFEX	$46,839,154	$0.030353	1,543,157,590 *	$89,309	0.84%	2.32%	35.91%	
236	VIB Viberate	VIB	$46,796,698	$0.283674	164,966,467 *	$4,519,820	-0.19%	4.05%	16.29%	
