86	LINK ChainLink	LINK	$239,409,100	$0.684026	350,000,000 *	$9,423,320	5.11%	19.68%	32.54%	
87	SUB Substratum	SUB	$239,311,016	$1.06	226,091,449 *	$6,567,160	-0.42%	-6.81%	-2.04%	
88	RDN Raiden Networ...	RDN	$237,880,976	$4.74	50,148,936 *	$16,668,400	2.50%	5.62%	19.64%	
89	ETHOS Ethos	ETHOS	$233,847,876	$3.10	75,401,962 *	$9,278,130	0.24%	6.76%	14.27%	
90	TRIG Triggers	TRIG	$231,062,236	$7.20	32,105,578 *	$15,290,400	2.80%	-3.73%	112.75%	
91	NAV NAV Coin	NAV	$226,461,595	$3.64	62,245,676 *	$7,884,210	0.84%	13.02%	20.22%	
92	SMART SmartCash	SMART	$220,276,647	$0.411058	535,877,289	$403,180	-0.11%	6.56%	148.50%	
93	MANA Decentraland	MANA	$218,964,261	$0.096301	2,273,755,650 *	$24,262,100	0.86%	-7.49%	5.27%	
94	BCO BridgeCoin	BCO	$218,145,960	$8.08	27,000,000	$1,067,680	-0.88%	16.04%	503.82%	
95	QSP Quantstamp	QSP	$215,304,985	$0.348777	617,314,171 *	$29,519,400	-2.18%	3.56%	105.58%	
96	UBQ Ubiq	UBQ	$214,115,557	$5.49	38,981,060	$3,096,840	-0.52%	-8.11%	19.57%	
97	BNT Bancor	BNT	$213,008,485	$5.22	40,772,871 *	$7,529,500	-0.08%	0.78%	12.01%	
98	CNX Cryptonex	CNX	$208,188,880	$4.62	45,041,957	$239,363	0.09%	-4.76%	-1.26%	
99	POE Po.et	POE	$206,689,665	$0.094095	2,196,601,583 *	$44,791,500	-2.01%	-5.95%	190.36%	
100	BLOCK Blocknet	BLOCK	$205,723,628	$41.54	4,952,232 *	$447,828	-0.89%	-3.82%	12.78%	
101	DENT Dent	DENT	$197,871,882	$0.018641	10,614,760,961 *	$5,298,240	-0.18%	-5.24%	-42.70%	
102	GXS GXShares	GXS	$196,124,709	$4.84	40,510,000 *	$6,069,180	0.25%	-8.32%	-2.23%	
103	EMC2 Einsteinium	EMC2	$195,197,272	$0.902708	216,235,230	$25,819,600	2.31%	15.50%	-7.50%	
104	MCO Monaco	MCO	$191,984,533	$14.67	13,085,542 *	$54,393,500	-0.57%	-5.21%	-23.18%	
